#ESTAR: Stopping Powers and Range Tables for Electrons

#LEAD

#Kinetic   Total
#Energy    Stp. Pow.
#MeV       MeV cm2/g

1.000E-02 8.448E+00
1.500E-02 6.585E+00
2.000E-02 5.480E+00
2.500E-02 4.743E+00
3.000E-02 4.212E+00
3.500E-02 3.812E+00
4.000E-02 3.497E+00
4.500E-02 3.243E+00
5.000E-02 3.034E+00
6.000E-02 2.708E+00
7.000E-02 2.466E+00
8.000E-02 2.279E+00
9.000E-02 2.130E+00
1.000E-01 2.008E+00
1.500E-01 1.633E+00
2.000E-01 1.442E+00
2.500E-01 1.329E+00
3.000E-01 1.257E+00
3.500E-01 1.209E+00
4.000E-01 1.175E+00
4.500E-01 1.152E+00
5.000E-01 1.135E+00
6.000E-01 1.117E+00
7.000E-01 1.110E+00
8.000E-01 1.110E+00
9.000E-01 1.115E+00
1.000E+00 1.123E+00
1.500E+00 1.183E+00
2.000E+00 1.256E+00
2.500E+00 1.331E+00
3.000E+00 1.406E+00
3.500E+00 1.480E+00
4.000E+00 1.553E+00
4.500E+00 1.626E+00
5.000E+00 1.698E+00
6.000E+00 1.841E+00
7.000E+00 1.983E+00
8.000E+00 2.125E+00
9.000E+00 2.266E+00
1.000E+01 2.407E+00
1.500E+01 3.116E+00
2.000E+01 3.830E+00
2.500E+01 4.551E+00
3.000E+01 5.279E+00
3.500E+01 6.011E+00
4.000E+01 6.747E+00
4.500E+01 7.488E+00
5.000E+01 8.231E+00
