#ESTAR: Stopping Powers and Range Tables for Electrons

#ALUMINUM

#Kinetic   Total     CSDA
#Energy    Stp. Pow. Range
#MeV       MeV cm2/g g/cm2     

1.000E-02 1.650E+01 3.539E-04
1.250E-02 1.398E+01 5.192E-04
1.500E-02 1.221E+01 7.111E-04
1.750E-02 1.088E+01 9.284E-04
2.000E-02 9.851E+00 1.170E-03
2.500E-02 8.345E+00 1.724E-03
3.000E-02 7.294E+00 2.367E-03
3.500E-02 6.516E+00 3.094E-03
4.000E-02 5.916E+00 3.900E-03
4.500E-02 5.437E+00 4.783E-03
5.000E-02 5.046E+00 5.738E-03
5.500E-02 4.721E+00 6.763E-03
6.000E-02 4.446E+00 7.855E-03
7.000E-02 4.005E+00 1.023E-02
8.000E-02 3.668E+00 1.284E-02
9.000E-02 3.401E+00 1.568E-02
1.000E-01 3.185E+00 1.872E-02
1.250E-01 2.789E+00 2.714E-02
1.500E-01 2.521E+00 3.659E-02
1.750E-01 2.328E+00 4.693E-02
2.000E-01 2.183E+00 5.804E-02
2.500E-01 1.981E+00 8.217E-02
3.000E-01 1.849E+00 1.083E-01
3.500E-01 1.757E+00 1.361E-01
4.000E-01 1.691E+00 1.652E-01
4.500E-01 1.642E+00 1.952E-01
5.000E-01 1.604E+00 2.260E-01
5.500E-01 1.576E+00 2.575E-01
6.000E-01 1.554E+00 2.894E-01
7.000E-01 1.522E+00 3.545E-01
8.000E-01 1.503E+00 4.206E-01
9.000E-01 1.492E+00 4.874E-01
1.000E+00 1.486E+00 5.546E-01
1.250E+00 1.484E+00 7.231E-01
1.500E+00 1.491E+00 8.913E-01
1.750E+00 1.504E+00 1.058E+00
2.000E+00 1.518E+00 1.224E+00
2.500E+00 1.549E+00 1.550E+00
3.000E+00 1.580E+00 1.869E+00
3.500E+00 1.609E+00 2.183E+00
4.000E+00 1.637E+00 2.491E+00
4.500E+00 1.664E+00 2.794E+00
5.000E+00 1.690E+00 3.092E+00
5.500E+00 1.715E+00 3.386E+00
6.000E+00 1.739E+00 3.675E+00
7.000E+00 1.787E+00 4.242E+00
8.000E+00 1.833E+00 4.795E+00
9.000E+00 1.877E+00 5.334E+00
1.000E+01 1.921E+00 5.861E+00
1.250E+01 2.029E+00 7.127E+00
1.500E+01 2.134E+00 8.328E+00
1.750E+01 2.237E+00 9.472E+00
2.000E+01 2.340E+00 1.056E+01
2.500E+01 2.544E+00 1.261E+01
3.000E+01 2.746E+00 1.450E+01
3.500E+01 2.947E+00 1.626E+01
4.000E+01 3.148E+00 1.790E+01
4.500E+01 3.349E+00 1.944E+01
5.000E+01 3.550E+00 2.089E+01
