#ESTAR: Stopping Powers and Range Tables for Electrons

#AMORPHOUS CARBON

#Kinetic   Total     CSDA
#Energy    Stp. Pow. Range
#MeV       MeV cm2/g g/cm2

1.000E-02 1.999E+01 2.845E-04
1.250E-02 1.682E+01 4.214E-04
1.500E-02 1.461E+01 5.813E-04
1.750E-02 1.296E+01 7.634E-04
2.000E-02 1.169E+01 9.667E-04
2.500E-02 9.852E+00 1.435E-03
3.000E-02 8.575E+00 1.980E-03
3.500E-02 7.635E+00 2.600E-03
4.000E-02 6.911E+00 3.289E-03
4.500E-02 6.337E+00 4.045E-03
5.000E-02 5.869E+00 4.866E-03
5.500E-02 5.481E+00 5.748E-03
6.000E-02 5.153E+00 6.690E-03
7.000E-02 4.629E+00 8.742E-03
8.000E-02 4.229E+00 1.101E-02
9.000E-02 3.913E+00 1.347E-02
1.000E-01 3.657E+00 1.611E-02
1.250E-01 3.190E+00 2.346E-02
1.500E-01 2.874E+00 3.174E-02
1.750E-01 2.647E+00 4.082E-02
2.000E-01 2.476E+00 5.059E-02
2.500E-01 2.238E+00 7.191E-02
3.000E-01 2.081E+00 9.513E-02
3.500E-01 1.971E+00 1.198E-01
4.000E-01 1.891E+00 1.458E-01
4.500E-01 1.831E+00 1.727E-01
5.000E-01 1.785E+00 2.003E-01
5.500E-01 1.749E+00 2.286E-01
6.000E-01 1.720E+00 2.575E-01
7.000E-01 1.678E+00 3.164E-01
8.000E-01 1.650E+00 3.765E-01
9.000E-01 1.631E+00 4.375E-01
1.000E+00 1.619E+00 4.991E-01
1.250E+00 1.603E+00 6.544E-01
1.500E+00 1.600E+00 8.106E-01
1.750E+00 1.604E+00 9.667E-01
2.000E+00 1.610E+00 1.122E+00
2.500E+00 1.628E+00 1.431E+00
3.000E+00 1.648E+00 1.736E+00
3.500E+00 1.668E+00 2.038E+00
4.000E+00 1.688E+00 2.336E+00
4.500E+00 1.707E+00 2.631E+00
5.000E+00 1.726E+00 2.922E+00
5.500E+00 1.744E+00 3.210E+00
6.000E+00 1.761E+00 3.495E+00
7.000E+00 1.795E+00 4.058E+00
8.000E+00 1.826E+00 4.610E+00
9.000E+00 1.857E+00 5.153E+00
1.000E+01 1.886E+00 5.688E+00
1.250E+01 1.955E+00 6.989E+00
1.500E+01 2.021E+00 8.247E+00
1.750E+01 2.084E+00 9.465E+00
2.000E+01 2.146E+00 1.065E+01
2.500E+01 2.266E+00 1.291E+01
3.000E+01 2.384E+00 1.506E+01
3.500E+01 2.500E+00 1.711E+01
4.000E+01 2.615E+00 1.907E+01
4.500E+01 2.730E+00 2.094E+01
5.000E+01 2.844E+00 2.273E+01
