#ESTAR: Stopping Powers and Range Tables for Electrons

#IRON

#Kinetic  	Total    	CSDA
#Energy   	Stp. Pow.	Range
#MeV      	MeV cm2/g	g/cm2

1.000E-02	1.390E+01	4.330E-04
1.250E-02	1.186E+01	6.284E-04
1.500E-02	1.041E+01	8.539E-04
1.750E-02	9.323E+00	1.108E-03
2.000E-02	8.468E+00	1.390E-03
2.500E-02	7.213E+00	2.032E-03
3.000E-02	6.330E+00	2.774E-03
3.500E-02	5.672E+00	3.610E-03
4.000E-02	5.163E+00	4.536E-03
4.500E-02	4.756E+00	5.546E-03
5.000E-02	4.422E+00	6.637E-03
5.500E-02	4.144E+00	7.806E-03
6.000E-02	3.908E+00	9.050E-03
7.000E-02	3.529E+00	1.175E-02
8.000E-02	3.238E+00	1.471E-02
9.000E-02	3.007E+00	1.792E-02
1.000E-01	2.820E+00	2.136E-02
1.250E-01	2.476E+00	3.085E-02
1.500E-01	2.242E+00	4.149E-02
1.750E-01	2.074E+00	5.310E-02
2.000E-01	1.947E+00	6.556E-02
2.500E-01	1.771E+00	9.257E-02
3.000E-01	1.656E+00	1.218E-01
3.500E-01	1.576E+00	1.528E-01
4.000E-01	1.519E+00	1.851E-01
4.500E-01	1.477E+00	2.186E-01
5.000E-01	1.445E+00	2.528E-01
5.500E-01	1.421E+00	2.877E-01
6.000E-01	1.402E+00	3.232E-01
7.000E-01	1.376E+00	3.952E-01
8.000E-01	1.362E+00	4.683E-01
9.000E-01	1.354E+00	5.420E-01
1.000E+00	1.350E+00	6.159E-01
1.250E+00	1.353E+00	8.011E-01
1.500E+00	1.365E+00	9.851E-01
1.750E+00	1.382E+00	1.167E+00
2.000E+00	1.400E+00	1.347E+00
2.500E+00	1.440E+00	1.699E+00
3.000E+00	1.480E+00	2.042E+00
3.500E+00	1.520E+00	2.375E+00
4.000E+00	1.560E+00	2.700E+00
4.500E+00	1.599E+00	3.016E+00
5.000E+00	1.638E+00	3.325E+00
5.500E+00	1.676E+00	3.627E+00
6.000E+00	1.713E+00	3.922E+00
7.000E+00	1.788E+00	4.493E+00
8.000E+00	1.861E+00	5.042E+00
9.000E+00	1.933E+00	5.569E+00
1.000E+01	2.005E+00	6.077E+00
1.250E+01	2.182E+00	7.272E+00
1.500E+01	2.357E+00	8.374E+00
1.750E+01	2.531E+00	9.397E+00
2.000E+01	2.704E+00	1.035E+01
2.500E+01	3.050E+00	1.209E+01
3.000E+01	3.396E+00	1.365E+01
3.500E+01	3.741E+00	1.505E+01
4.000E+01	4.087E+00	1.633E+01
4.500E+01	4.434E+00	1.750E+01
5.000E+01	4.782E+00	1.859E+01
