#ESTAR: Stopping Powers and Range Tables for Electrons

#LEAD

#Kinetic  	Total    	CSDA
#Energy   	Stp. Pow.	Range
#MeV      	MeV cm2/g	g/cm2

1.000E-02	8.448E+00	8.255E-04
1.250E-02	7.379E+00	1.143E-03
1.500E-02	6.585E+00	1.502E-03
1.750E-02	5.971E+00	1.902E-03
2.000E-02	5.480E+00	2.339E-03
2.500E-02	4.743E+00	3.323E-03
3.000E-02	4.212E+00	4.445E-03
3.500E-02	3.812E+00	5.695E-03
4.000E-02	3.497E+00	7.066E-03
4.500E-02	3.243E+00	8.552E-03
5.000E-02	3.034E+00	1.015E-02
5.500E-02	2.858E+00	1.185E-02
6.000E-02	2.708E+00	1.365E-02
7.000E-02	2.466E+00	1.752E-02
8.000E-02	2.279E+00	2.175E-02
9.000E-02	2.130E+00	2.629E-02
1.000E-01	2.008E+00	3.113E-02
1.250E-01	1.785E+00	4.438E-02
1.500E-01	1.633E+00	5.905E-02
1.750E-01	1.524E+00	7.492E-02
2.000E-01	1.442E+00	9.180E-02
2.500E-01	1.329E+00	1.280E-01
3.000E-01	1.257E+00	1.668E-01
3.500E-01	1.209E+00	2.074E-01
4.000E-01	1.175E+00	2.494E-01
4.500E-01	1.152E+00	2.924E-01
5.000E-01	1.135E+00	3.361E-01
5.500E-01	1.124E+00	3.804E-01
6.000E-01	1.117E+00	4.250E-01
7.000E-01	1.110E+00	5.149E-01
8.000E-01	1.110E+00	6.050E-01
9.000E-01	1.115E+00	6.949E-01
1.000E+00	1.123E+00	7.843E-01
1.250E+00	1.150E+00	1.004E+00
1.500E+00	1.183E+00	1.219E+00
1.750E+00	1.219E+00	1.427E+00
2.000E+00	1.256E+00	1.629E+00
2.500E+00	1.331E+00	2.016E+00
3.000E+00	1.406E+00	2.381E+00
3.500E+00	1.480E+00	2.728E+00
4.000E+00	1.553E+00	3.057E+00
4.500E+00	1.626E+00	3.372E+00
5.000E+00	1.698E+00	3.673E+00
5.500E+00	1.769E+00	3.962E+00
6.000E+00	1.841E+00	4.239E+00
7.000E+00	1.983E+00	4.762E+00
8.000E+00	2.125E+00	5.249E+00
9.000E+00	2.266E+00	5.705E+00
1.000E+01	2.407E+00	6.133E+00
1.250E+01	2.761E+00	7.102E+00
1.500E+01	3.116E+00	7.954E+00
1.750E+01	3.472E+00	8.713E+00
2.000E+01	3.830E+00	9.399E+00
2.500E+01	4.551E+00	1.059E+01
3.000E+01	5.279E+00	1.161E+01
3.500E+01	6.011E+00	1.250E+01
4.000E+01	6.747E+00	1.329E+01
4.500E+01	7.488E+00	1.399E+01
5.000E+01	8.231E+00	1.463E+01
