# ESTAR: Stopping Powers and Range Tables for Electrons

#PLASTIC SCINTILLATOR (VINYLTOLUENE BASED)

#Kinetic   Total     CSDA
#Energy    Stp. Pow. Range
#MeV       MeV cm2/g g/cm2

1.000E-02 2.265E+01 2.495E-04
1.250E-02 1.903E+01 3.704E-04
1.500E-02 1.650E+01 5.119E-04
1.750E-02 1.463E+01 6.732E-04
2.000E-02 1.319E+01 8.535E-04
2.500E-02 1.109E+01 1.269E-03
3.000E-02 9.646E+00 1.754E-03
3.500E-02 8.581E+00 2.304E-03
4.000E-02 7.764E+00 2.918E-03
4.500E-02 7.115E+00 3.592E-03
5.000E-02 6.588E+00 4.323E-03
5.500E-02 6.150E+00 5.109E-03
6.000E-02 5.780E+00 5.948E-03
7.000E-02 5.191E+00 7.777E-03
8.000E-02 4.741E+00 9.796E-03
9.000E-02 4.386E+00 1.199E-02
1.000E-01 4.099E+00 1.435E-02
1.250E-01 3.576E+00 2.091E-02
1.500E-01 3.222E+00 2.829E-02
1.750E-01 2.969E+00 3.639E-02
2.000E-01 2.779E+00 4.511E-02
2.500E-01 2.514E+00 6.409E-02
3.000E-01 2.342E+00 8.474E-02
3.500E-01 2.222E+00 1.067E-01
4.000E-01 2.134E+00 1.297E-01
4.500E-01 2.066E+00 1.535E-01
5.000E-01 2.014E+00 1.780E-01
5.500E-01 1.973E+00 2.031E-01
6.000E-01 1.941E+00 2.287E-01
7.000E-01 1.893E+00 2.809E-01
8.000E-01 1.861E+00 3.342E-01
9.000E-01 1.839E+00 3.883E-01
1.000E+00 1.824E+00 4.429E-01
1.250E+00 1.804E+00 5.808E-01
1.500E+00 1.799E+00 7.196E-01
1.750E+00 1.801E+00 8.585E-01
2.000E+00 1.807E+00 9.971E-01
2.500E+00 1.823E+00 1.273E+00
3.000E+00 1.842E+00 1.546E+00
3.500E+00 1.862E+00 1.815E+00
4.000E+00 1.882E+00 2.083E+00
4.500E+00 1.901E+00 2.347E+00
5.000E+00 1.919E+00 2.609E+00
5.500E+00 1.937E+00 2.868E+00
6.000E+00 1.954E+00 3.125E+00
7.000E+00 1.988E+00 3.632E+00
8.000E+00 2.019E+00 4.132E+00
9.000E+00 2.049E+00 4.623E+00
1.000E+01 2.078E+00 5.108E+00
1.250E+01 2.147E+00 6.291E+00
1.500E+01 2.212E+00 7.438E+00
1.750E+01 2.274E+00 8.553E+00
2.000E+01 2.335E+00 9.637E+00
2.500E+01 2.453E+00 1.173E+01
3.000E+01 2.569E+00 1.372E+01
3.500E+01 2.683E+00 1.562E+01
4.000E+01 2.796E+00 1.745E+01
4.500E+01 2.908E+00 1.920E+01
5.000E+01 3.020E+00 2.089E+01
